Image,Newspaper,Year,Faces
GDL-1798-02-05-a-p0001.jpg,GDL,1798,0
GDL-1798-02-05-a-p0002.jpg,GDL,1798,0
GDL-1798-02-05-a-p0003.jpg,GDL,1798,0
GDL-1798-02-05-a-p0004.jpg,GDL,1798,0
GDL-1798-05-29-a-p0001.jpg,GDL,1798,0
GDL-1798-05-29-a-p0002.jpg,GDL,1798,1
GDL-1798-05-29-a-p0003.jpg,GDL,1798,0
GDL-1798-05-29-a-p0004.jpg,GDL,1798,0
GDL-1798-05-29-a-p0005.jpg,GDL,1798,0
GDL-1798-05-29-a-p0006.jpg,GDL,1798,0
GDL-1798-05-29-a-p0007.jpg,GDL,1798,0
GDL-1798-05-29-a-p0008.jpg,GDL,1798,0
GDL-1798-12-16-a-p0001.jpg,GDL,1798,0
GDL-1798-12-16-a-p0002.jpg,GDL,1798,0
GDL-1798-12-16-a-p0003.jpg,GDL,1798,0
GDL-1798-12-16-a-p0004.jpg,GDL,1798,0
GDL-1798-12-16-a-p0005.jpg,GDL,1798,0
GDL-1798-12-16-a-p0006.jpg,GDL,1798,0
GDL-1798-12-16-a-p0007.jpg,GDL,1798,1
GDL-1798-12-16-a-p0008.jpg,GDL,1798,1
GDL-1807-06-23-a-p0001.jpg,GDL,1807,0
GDL-1807-06-23-a-p0002.jpg,GDL,1807,0
GDL-1807-06-23-a-p0003.jpg,GDL,1807,0
GDL-1807-06-23-a-p0004.jpg,GDL,1807,0
GDL-1807-06-23-a-p0005.jpg,GDL,1807,0
GDL-1807-06-23-a-p0006.jpg,GDL,1807,1
GDL-1807-06-23-a-p0007.jpg,GDL,1807,1
GDL-1807-06-23-a-p0008.jpg,GDL,1807,0
GDL-1807-06-23-a-p0009.jpg,GDL,1807,0
GDL-1807-06-23-a-p0010.jpg,GDL,1807,0
GDL-1807-06-23-a-p0011.jpg,GDL,1807,0
GDL-1807-06-23-a-p0012.jpg,GDL,1807,0
GDL-1807-06-30-a-p0001.jpg,GDL,1807,0
GDL-1807-06-30-a-p0002.jpg,GDL,1807,1
GDL-1807-06-30-a-p0003.jpg,GDL,1807,0
GDL-1807-06-30-a-p0004.jpg,GDL,1807,2
GDL-1807-06-30-a-p0005.jpg,GDL,1807,0
GDL-1807-06-30-a-p0006.jpg,GDL,1807,0
GDL-1807-06-30-a-p0007.jpg,GDL,1807,0
GDL-1807-06-30-a-p0008.jpg,GDL,1807,0
GDL-1807-06-30-a-p0009.jpg,GDL,1807,0
GDL-1807-06-30-a-p0010.jpg,GDL,1807,0
GDL-1807-06-30-a-p0011.jpg,GDL,1807,1
GDL-1807-06-30-a-p0012.jpg,GDL,1807,0
GDL-1807-11-20-a-p0001.jpg,GDL,1807,1
GDL-1807-11-20-a-p0002.jpg,GDL,1807,0
GDL-1807-11-20-a-p0003.jpg,GDL,1807,1
GDL-1807-11-20-a-p0004.jpg,GDL,1807,0
GDL-1807-11-20-a-p0005.jpg,GDL,1807,0
GDL-1807-11-20-a-p0006.jpg,GDL,1807,1
GDL-1807-11-20-a-p0007.jpg,GDL,1807,1
GDL-1807-11-20-a-p0008.jpg,GDL,1807,0
GDL-1807-11-20-a-p0009.jpg,GDL,1807,0
GDL-1807-11-20-a-p0010.jpg,GDL,1807,0
GDL-1807-11-20-a-p0011.jpg,GDL,1807,0
GDL-1807-11-20-a-p0012.jpg,GDL,1807,0
GDL-1812-04-21-a-p0001.jpg,GDL,1812,0
GDL-1812-04-21-a-p0002.jpg,GDL,1812,0
GDL-1812-04-21-a-p0003.jpg,GDL,1812,0
GDL-1812-04-21-a-p0004.jpg,GDL,1812,0
GDL-1812-10-05-a-p0001.jpg,GDL,1812,0
GDL-1812-10-05-a-p0002.jpg,GDL,1812,0
GDL-1812-10-05-a-p0003.jpg,GDL,1812,0
GDL-1812-10-05-a-p0004.jpg,GDL,1812,0
GDL-1812-10-05-a-p0005.jpg,GDL,1812,1
GDL-1812-10-05-a-p0006.jpg,GDL,1812,0
GDL-1812-12-15-a-p0001.jpg,GDL,1812,0
GDL-1812-12-15-a-p0002.jpg,GDL,1812,1
GDL-1812-12-15-a-p0003.jpg,GDL,1812,0
GDL-1812-12-15-a-p0004.jpg,GDL,1812,0
GDL-1817-07-22-a-p0001.jpg,GDL,1817,0
GDL-1817-07-22-a-p0002.jpg,GDL,1817,0
GDL-1817-07-22-a-p0003.jpg,GDL,1817,0
GDL-1817-07-22-a-p0004.jpg,GDL,1817,0
GDL-1817-08-19-a-p0001.jpg,GDL,1817,0
GDL-1817-08-19-a-p0002.jpg,GDL,1817,0
GDL-1817-08-19-a-p0003.jpg,GDL,1817,0
GDL-1817-08-19-a-p0004.jpg,GDL,1817,0
GDL-1817-11-11-a-p0001.jpg,GDL,1817,0
GDL-1817-11-11-a-p0002.jpg,GDL,1817,0
GDL-1817-11-11-a-p0003.jpg,GDL,1817,0
GDL-1817-11-11-a-p0004.jpg,GDL,1817,0
GDL-1822-07-26-a-p0001.jpg,GDL,1822,0
GDL-1822-07-26-a-p0002.jpg,GDL,1822,0
GDL-1822-07-26-a-p0003.jpg,GDL,1822,0
GDL-1822-07-26-a-p0004.jpg,GDL,1822,0
GDL-1822-09-27-a-p0001.jpg,GDL,1822,0
GDL-1822-09-27-a-p0002.jpg,GDL,1822,0
GDL-1822-09-27-a-p0003.jpg,GDL,1822,0
GDL-1822-09-27-a-p0004.jpg,GDL,1822,0
GDL-1822-11-19-a-p0001.jpg,GDL,1822,0
GDL-1822-11-19-a-p0002.jpg,GDL,1822,0
GDL-1822-11-19-a-p0003.jpg,GDL,1822,0
GDL-1822-11-19-a-p0004.jpg,GDL,1822,0
GDL-1822-11-19-a-p0005.jpg,GDL,1822,0
GDL-1822-11-19-a-p0006.jpg,GDL,1822,0
GDL-1827-01-23-a-p0001.jpg,GDL,1827,0
GDL-1827-01-23-a-p0002.jpg,GDL,1827,0
GDL-1827-01-23-a-p0003.jpg,GDL,1827,0
GDL-1827-01-23-a-p0004.jpg,GDL,1827,1
GDL-1827-01-23-a-p0005.jpg,GDL,1827,0
GDL-1827-01-23-a-p0006.jpg,GDL,1827,0
GDL-1827-06-01-a-p0001.jpg,GDL,1827,0
GDL-1827-06-01-a-p0002.jpg,GDL,1827,0
GDL-1827-06-01-a-p0003.jpg,GDL,1827,0
GDL-1827-06-01-a-p0004.jpg,GDL,1827,0
GDL-1827-07-24-a-p0001.jpg,GDL,1827,0
GDL-1827-07-24-a-p0002.jpg,GDL,1827,0
GDL-1827-07-24-a-p0003.jpg,GDL,1827,0
GDL-1827-07-24-a-p0004.jpg,GDL,1827,0
GDL-1827-07-24-a-p0005.jpg,GDL,1827,0
GDL-1827-07-24-a-p0006.jpg,GDL,1827,0
GDL-1827-07-24-a-p0007.jpg,GDL,1827,0
GDL-1827-07-24-a-p0008.jpg,GDL,1827,0
GDL-1832-06-19-a-p0001.jpg,GDL,1832,0
GDL-1832-06-19-a-p0002.jpg,GDL,1832,0
GDL-1832-06-19-a-p0003.jpg,GDL,1832,0
GDL-1832-06-19-a-p0004.jpg,GDL,1832,0
GDL-1832-06-19-a-p0005.jpg,GDL,1832,0
GDL-1832-06-19-a-p0006.jpg,GDL,1832,0
GDL-1832-08-17-a-p0001.jpg,GDL,1832,0
GDL-1832-08-17-a-p0002.jpg,GDL,1832,0
GDL-1832-08-17-a-p0003.jpg,GDL,1832,1
GDL-1832-08-17-a-p0004.jpg,GDL,1832,0
GDL-1832-08-17-a-p0005.jpg,GDL,1832,0
GDL-1832-08-17-a-p0006.jpg,GDL,1832,0
GDL-1832-08-17-a-p0007.jpg,GDL,1832,0
GDL-1832-08-17-a-p0008.jpg,GDL,1832,0
GDL-1832-08-17-a-p0009.jpg,GDL,1832,0
GDL-1832-08-17-a-p0010.jpg,GDL,1832,0
GDL-1832-08-17-a-p0011.jpg,GDL,1832,0
GDL-1832-08-17-a-p0012.jpg,GDL,1832,0
GDL-1832-10-16-a-p0001.jpg,GDL,1832,0
GDL-1832-10-16-a-p0002.jpg,GDL,1832,0
GDL-1832-10-16-a-p0003.jpg,GDL,1832,0
GDL-1832-10-16-a-p0004.jpg,GDL,1832,0
GDL-1832-10-16-a-p0005.jpg,GDL,1832,0
GDL-1832-10-16-a-p0006.jpg,GDL,1832,0
GDL-1837-04-28-a-p0001.jpg,GDL,1837,0
GDL-1837-04-28-a-p0002.jpg,GDL,1837,0
GDL-1837-04-28-a-p0003.jpg,GDL,1837,0
GDL-1837-04-28-a-p0004.jpg,GDL,1837,0
GDL-1837-05-26-a-p0001.jpg,GDL,1837,0
GDL-1837-05-26-a-p0002.jpg,GDL,1837,0
GDL-1837-05-26-a-p0003.jpg,GDL,1837,0
GDL-1837-05-26-a-p0004.jpg,GDL,1837,0
GDL-1837-08-04-a-p0001.jpg,GDL,1837,0
